config,seed,trial,clean_best_so_far
③: gp_prior only,43,2,0.10228478812081578
③: gp_prior only,43,3,0.4469449783346927
③: gp_prior only,43,4,0.4469449783346927
③: gp_prior only,43,5,0.4469449783346927
③: gp_prior only,43,6,0.5663419037277398
③: gp_prior only,43,7,0.5982851210961768
③: gp_prior only,43,8,0.5982851210961768
③: gp_prior only,43,9,0.5982851210961768
③: gp_prior only,43,10,0.6060404388792687
③: gp_prior only,43,11,0.6060404388792687
③: gp_prior only,43,12,0.6060404388792687
③: gp_prior only,43,13,0.6060404388792687
③: gp_prior only,43,14,0.6060404388792687
③: gp_prior only,43,15,0.6060404388792687
③: gp_prior only,43,16,0.6060404388792687
③: gp_prior only,43,17,0.6060404388792687
③: gp_prior only,43,18,0.6060404388792687
③: gp_prior only,43,19,0.6060404388792687
③: gp_prior only,43,20,0.6060404388792687
③: gp_prior only,43,21,0.6063389555210922
③: gp_prior only,44,1,0.490520292401848
③: gp_prior only,44,2,0.490520292401848
③: gp_prior only,44,3,0.490520292401848
③: gp_prior only,44,4,0.490520292401848
③: gp_prior only,44,5,0.490520292401848
③: gp_prior only,44,6,0.490520292401848
③: gp_prior only,44,7,0.573772430532724
③: gp_prior only,44,8,0.6065271823399147
③: gp_prior only,44,9,0.6065271823399147
③: gp_prior only,44,10,0.6044452507160053
③: gp_prior only,44,11,0.6044452507160053
③: gp_prior only,44,12,0.6044452507160053
③: gp_prior only,44,13,0.6044452507160053
③: gp_prior only,44,14,0.6042642929272452
③: gp_prior only,44,15,0.6042642929272452
③: gp_prior only,44,16,0.6042642929272452
③: gp_prior only,44,17,0.6042642929272452
③: gp_prior only,44,18,0.606514809405572
③: gp_prior only,44,19,0.606514809405572
③: gp_prior only,44,20,0.6064794973016934
③: gp_prior only,44,21,0.6064794973016934
③: gp_prior only,45,1,0.1529420458340148
③: gp_prior only,45,2,0.2636835884237844
③: gp_prior only,45,3,0.4969742837987084
③: gp_prior only,45,4,0.48989068524803253
③: gp_prior only,45,5,0.48989068524803253
③: gp_prior only,45,6,0.48989068524803253
③: gp_prior only,45,7,0.5328450617042133
③: gp_prior only,45,8,0.5685267435810653
③: gp_prior only,45,9,0.5953913584297261
③: gp_prior only,45,10,0.6065306582418303
③: gp_prior only,45,11,0.6065306582418303
③: gp_prior only,45,12,0.6065306582418303
③: gp_prior only,45,13,0.6065306582418303
③: gp_prior only,45,14,0.6065306582418303
③: gp_prior only,45,15,0.6065306582418303
③: gp_prior only,45,16,0.6065306582418303
③: gp_prior only,45,17,0.6065306582418303
③: gp_prior only,45,18,0.6064767977910428
③: gp_prior only,45,19,0.6064767977910428
③: gp_prior only,45,20,0.6064767977910428
③: gp_prior only,45,21,0.6064767977910428
③: gp_prior only,46,1,0.38764724215179136
③: gp_prior only,46,2,0.38764724215179136
③: gp_prior only,46,3,0.4345708455086277
③: gp_prior only,46,4,0.48320003916499693
